Magnusson, Mattias/Anderson, Fred
Dalmagro, Hugues/Albrecht, Richard
Thompson, Ahmir '?uestlove'/Beze, Dante
Matorin, Mikhail/McKellen, Ian
Reed, Christopher/Dodds, K.K.
Terras, Christian/Davoli, Ninetto
Davies, Trevor Allan/Birch, Randy
Byfield, Trevor/Bonneville, Hugh
Lolos, Dawn/Chiros, Jim
Shepherd, Jack/Addie, Robert
Sau, Shek/Cho, John
Joffe, Stephen/Huband, David
Orsini, Marina/Cooke, Vanessa
Powell, Esteban/Bain, Barbara
Russell, Jane/Leigh, Janet
Rousset, Olivier/Belkhadra, Karim
Amis, Danny/Adams, Amy
Pais, Josh/Arquette, David
Hayes, Hunter/Bacon, Kevin
Krausz, Fanny/Bleibtreu, Monika
Van Mulder, Paul/Chierici, Beppe
Rodriguez, Assenech/Azor�n, Eloy
Out, Elvira/Hugaert, Daan
White, Sherry/Hynes, Ron
Blackburn, David Allen/Fairlie, John
Blackman, Steve/Angle, Kurt
Damica, Anthony/Argo, Victor
Hub, Martin/Fisher, David
Olsson, Ingela/Fj�llstr�m, Christer
Andrade, John Mark/Anderson, Anthony
Nemeth, Eva Dawn/Leverman, Zehra
Wrigley, Philip/Atkinson, Phil
Hollis, Chris/Bonneville, Hugh
Bram, Eric/Bates, Bino
Shanley, John Patrick/Leisure, David
Burns, David/Holmes, Teck
Bassanoff, Toula/Archer, Anne
Schoonheijt, Robin/Bokma, Pierre
Gaines, Rosie/Kravitz, Lenny
Preusche, Gerd/Kunze, Andreas
Jubinville, Kevin/Airlie, Andrew
Fairchild, Matthew/Gordon-Levitt, Joseph
Hovanesian, Danny/Baldwin, Alec
Okina, Megumi/Shintani, Mayumi
Beene, Dan/Bennes, John
Zweig, Alan/McKellar, Don
Derre, J�r�me/Chappey, Antoine
Rossello, Sebastia/Molina, �ngela
Sturdevant, David/Macy, Rick
Gullette, Sean/Buono, Cara
Belkhadra, Karim/Berlioux, Daniel
Ayscue, J./Bachar, Dian
Lachatte, Anabelle/Peschel, Janet
Rendo, Fabi�n/Palomino, Juan
Cullen, Patrick/Acheson, Mark
Deliba, Fejria/Epstein, Yan
Landau, Avi/Lanki, Collen
Van Horne, Amy/Caron, Jesse
Guthke, Karoline/Iplicjian, Anaid
Chaves, Ang�lica/Bejo, B�r�nice
Pinner, Phil/Wills, Scott
Frost, Sadie/Benson, Perry
Corneille, Marie-Andr�e/Ahmarani, Paul
Drennan, Anthony/Corr, Andrea
Janecek, Vit/Gedeon, Sasa
Baker, Rupert/Akhurst, Lucy
Feldman, Krystyna/Frycz, Jan
Ribisi, Giovanni/Abrahams, Jon
Loverin, Jon K./Bennett, Nigel
Ma, Tzi/Alice, Mary
Thomson, Carson/Bates, Kathy
Kight, Wesley/Hawn, Phil
Sinn, Annie Ander/Dwarf, Hank The Angry Drunken
Norman, Christie/Chula, Babs
Porraz, Jean-Luc/Candelier, Isabelle
Yuen, Jung/Coolio
Salgado, Nicolas Mart�/Alessandroni, Henry
Hodges, Chas/Gervais, Ricky
Mersola, Savannah Brooke/Cansino, Richard
Wadokoro, Kozue/Shintani, Mayumi
Forsmark, G�ran/Dikanski, Vladimir
Crauchet, Paul/Grass, Vincent
Rabinovitch, Nadine/Campbell, Chuck
Woods, James/Huband, David
McDonald, Bill/Azman, Yank
Zevon, Warren/Canerday, Natalie
Hugot, Marceline/Bosco, Philip
Dunn, Nora/Aaron, Caroline
Torok, R. Todd/Alper, Eugene
Dorman, Vanessa/Caron, Jesse
Warren, Anitra/Ayala, Corina Katt
M�sa, Anton�n/Chytilov�, Vera
Burnett, Anthony/Austin-Olsen, Shaun
Weathers, Carl/Adams, Lillian
Chiume, Connie/Basinger, Kim
Munisteri, Matt/Abraham, F. Murray
Webber, Allison/Assante, Armand
Santa Cruz, Mia/Shaw, Scott
Cheng Guan, Kher/Lee, James
Sagarzazu, Idoia/Landa, Alfredo
D., Chuck/Allen, Tim
Hall, Shashawnee/Bonds, De'aundre
Tuthill, Charles/Graham, Holter
Cheston, Kelly/Bosworth, Kate
Foster, Susanna)/Jensen, Paul M.
Calek, Brian/Burns, David
Bucurenciu, Ovidiu/Gruia, Sandu Mihai
Holguin, Robert/Affleck, Casey
Ackerman, Randy/Nguyen, Huong
Acuff, Amy/Hernandez, Keith
Ruehs, Eric/Ayala, Corina Katt
Bryant, Molly/Gil, Ariadna
Hoffman, Philip Seymour/Amedori, John Patrick
Skytte, Claus/Owe, Baard
Amzulescu, Radu/Cristea, Eugen
Van Schaik, Peter/Kepler, Peter
Chisolm, Mary Colin/Brendler, Julia
Perche, Samuel/Barrat, Pierre
Harlang, Fabian/Brandenburg, Otto
Trouin, Maurice/Gillain, Marie
Rodr�guez, Bel�n/Cobo, Roberto
McGeachie, Meredith/Alessandroni, Henry
Cohen, Ari/Banks, Boyd
Lehmann, Beata/Berg, Wolf-Dietrich
Cros, Alexandre/Badin, Jean
Figliomeni, Sal/Elise, Kimberly
Hudec, Frank/Altman, Chelsea
Guattari, F�lix/Arias, Imanol
Hamlett, Robert/Hunter, Holly
Khanlian, Marco/Cassel, Seymour
Thompson, Omar/Fingaz, Sticky
Koutchoumov, Natacha/Atkine, F�odor
Bodjr�nou, Herman/Dorlipo, Didier
Brooks, Kylie/Steele, Lexington
Maruzzo, Joe/Ben-Victor, Paul
Herd, Richard/Affleck, Ben
Rodriguez, Paul/Angel, Vanessa
Sollers, Philippe/Arias, Imanol
Fraser, Iain/Aris, Jonathan
Caravaca, Eric/Bateman, Geoffrey
Uribe, Ingrid/Barton, Mischa
Lachapelle, Andr�e/S�nart, Catherine
Lohmann, Mario/Peschel, Janet
Weber, Kimberly/Amedori, John Patrick
Ader, Bob/Hines, Grainger
Gruia, Sandu Mihai/Pope, Carly
Martin, George/Allen, Tim
Pavlovitch, David/McNeil, Scott
Nupie, Jo/Hugaert, Daan
Bell, Liz/Butera, Simon N.
Monkarsh, Jason/Affleck, Casey
Hawkrigg, Courtney/Bogaert, Stephen
Mayer, Max/Horst, Jochen
Balahoutis, Alexandra/Alexi-Malle, Adam
Gomes, Larissa/Berg, Jeff
James, Jeremy/Bourguignon, Shelly
Northey, Michael/Bacon, Daniel
Weatherly, Benji/Burrow, Taj
Michaeli, Dani/Paesel, Brett
Hulme, Lachy/Dysart, Tommy
Nicole, Jennifer/Borgman, Eric Bruno
Descamps, Thierry/Armelle
Hemblen, David/Airlie, Andrew
Valdes-Rochin, Alejandro/Hayman, David
Murray, Emily/Barber, Frances
Scott, Mike/Kravitz, Lenny
Handy, Rachael/Harris, Henry
Romero, Andrew/Banks, Boyd
Rabot, Jean Noel/Balbi, Paola
Kelly, Jack/Lee, Gerard
Duncan, Carmen/Gibney, Rebecca
Mills, Alley/Caron, Jesse
Drake, Gordon/Harik, Jay
Dewasmes, Amandine/Bertin, Fran�oise
Valle, Anna/Bellinzoni, Massimo
Simonischek, Reinhard/Breitfuss, Gottfried
Bernabucci, Angelo/Proia, Karin
Schwimmer, David/Beardsley, Michael
Davis, Essie/Bolton, Heather
Pointeau, Laure/Godin, No�l
O'Donnell, Steven/Clack, Boyd
Antonius, Brigitte/Breitfuss, Gottfried
Blanc, David/Bianco, John
Van Herbergen, Suzy/Beukelaers, Fran�ois
Ligeti, Barbara/Cox, Jennifer Elise
McFayden, Dylan/Aasland, Derek
Cook, Ian/Benedetti, Caprice
Coolidge, Martha/Bates, Kathy
Castro, Lydia/Chriqui, Emmanuelle
Speck, Zsa Zsa/Manson, Marilyn
Grund�n, Per/Ekborg, Dan
Benedict, Jay/Blethyn, Brenda
Lonow, Mark/Arnold, Tom
Williams, Luke/Barker, Tim
Dayton, Gregory/Dumont, Ulises
Even, Marilyne/Aubry, Sophie
Finch, Chris/Cimarra, Conrad
Sinisalo, Emilia/Haukinen, Eeva-Maija
Nacker, Sally/Ayala, Corina Katt
Seiphemo, Rapulana/Beukes, Carl
Starr, Fredro/Bonds, De'aundre
Ayala, Corina Katt/Gennarino, Sabrina
Carvell, Marium/Baxter, Jennifer
Healy, John/Alessandroni, Henry
Kusturica, Emir/Auteuil, Daniel
Woodlawn, Holly/Arquette, Alexis
Croce, Stephen/Boisson, Christine
Terwilliger, Jamie/Yonally, Patrick
Barbosa, Blayn/Bullock, JM J.
San Juan, Antonia/Mora, Vicente
Williamson, Scott/Angel, Melanie
Aarles, Jeffrey/Armelle
Mao/Balbi, Paola
Sperling, Shashanna/Berg, Jeff
Barksdale, Shannon/Felecia
Miller, Hetty/Jaffrey, Saeed
Swaney, Jack/Lyndon, Amy
Didden, Marc/Arrendell, George
Savannah/Shore, Pauly
Dunn, Wally/Aidem, Betsy
Youanovitch, Alexandra/Allain, Jean
Reinhold, Robert/Henriksen, Bjarne
Vite Mesropian, Rosanna/Bouchitey, Patrick
Boucher, Christian/Alberghetti, Anna Maria
Talor, Venesa/Arquette, Alexis
Jackson, Phil/Costas, Bob
Torti, Robert/Caulfield, Maxwell
Gonz�les Castillo, Silvia/De Falco, Luciana
Roberson, David/Good, Meagan
Texada, Tia/Acevedo, Kirk
Robbins, Tim/Bauer, Christopher
Vale, Tessa/Bluto, Tony
Pablos, Edgar/Amato, Steven
Ratliff, A. Ray/Applegate, Royce D.
Korff, Hans-Peter/Beck, Jonathan
Sand�, Waage/Andersson, Bibi
Marche, Justine/Doutey, Alain
de la Torre, Antonio/Aguinagalde, Gorka
Garlin, Jeff/Aaron, Caroline
Fernandes, Jo-Ann/Barton, Mischa
Mower, Mark/Bates, Bino
Hamilton, Lisa Gay/Brown, Blair
Fitzmaurice, Neil/Gallagher, Jimmy
Sari, Serap/Lainer, Mark
Shortridge, Stephen/Kaplan, Gabe
Hayot, Marc/Gouram, Zakariya
Koyama, Yuka/Aono, Takeshi
Specht, Ernst/Lechner, Geno
Donagh, Liam/Bremner, Ewen
Owens, Kelli/Roman, Scott
Smith, Kirstin/Affleck, Rab
Eggers, Sien/Arrendell, George
Quinn, Danny/Bouix, Evelyne
Bradley, Ellen/Bleeth, Yasmine
Coyne, Chris/Coogan, Keith
Massey, Walter/Anderson, Stanley
Sumerak, Jen/Brown, Tracey
Cruse, Karen/Walker, Matt
Robbiano, Vanessa/Magill, Santiago
Morse, Christo/Arnett, Will
Rajadhyaksha, Gautam/Kapoor, Karishma
Dolan, Andrew/Bullock, Sandra
Abrahamsson, Harriet/Haukinen, Eeva-Maija
Hammond, Vicky/Gallagher, Jimmy
Renauld, Isabelle/Levantal, Fran�ois
Homewood, Stephen/Bell, Michael
Norberg, Anne-Li/Bergqvist, Tommy
Crespy, Pascale/Coesens, Antoine
Choi, David/Lubatti, Henri
Wagner, Bernard/Albertini Dow, Ellen
Godinbo, Nina/Assante, Armand
Buccellato, Benedetta/Bocci, Cesare
von Sivers, Alexandre/Aubry, Sophie
Hu, Lianne X./Lum, Benjamin
Figenschow Jr., Kristian Fredrik/Brynolfsson, Reine
Pomeranz, Michael Leo/Komenich, Rich
Rosanoff, Frayne/Albertini Dow, Ellen
Lessick Jr., James/Brooks, Susan
Gohde, Rainer/Buse, Butz
MacEllan, Kathryn/Bennett, Nigel
Cai, Weidong/Wu, David
Yaegashi, James/Aronson, Judie
Hendler, Daniel/Alterio, H�ctor
J�nsd�ttir, P�l�na/Brown, Blair
Pocock, Stephen/De Young, Cliff
Godin, Danielle/Adams, Steve
Bidstrup, Gerard/Andersson, Bibi
Nolan, Patrick David/Allen, Joan
Ninchi, Arnaldo/Jonasson, Andrea
Pather, Vani/Henley, Tanya
Krassnitzer, Harald/Beglau, Bibiana
Lynch, John)/Bannen, Ian
Page, Genevi�ve/Aubry, Sophie
Morche, J�rgen/Ahren, Barbara M.
LaSardo, Robert/Bennetts, Brian C.
Ramos, Jos� Ma Cano/Fox, James
Cleary, Tony/Anderson, Andy
Calabrese, Josephine/Allen, Woody
Morse, Barry/Bennett, Nigel
Oliver, Murray/Banks, Boyd
Tibber, Clem/Bovell, Brian
Kay, Dusty/Ben-Victor, Paul
�lvarez, Roberto/Balagu�, Carmen
Brenna, Rachel/Brody, Adam
Alban, Carlo/Bailey, Eion
Woodburn, Danny/Addy, Mark
Shure, Gillian/Alper, Eugene
DeSantiago, Jesus/Foster, Amanda
Rodriguez, Jorge/Acheson, Mark
Griffin, Rory/Bosworth, Kate
Cooper, Trevor/Akhurst, Lucy
Anciano, Dominic/Benson, Perry
Israel, Al/Adams, Lillian
Lawrence, Christopher/Alper, Eugene
Murphy, Daniel/Bell, Nicholas
Starr, Mia/Cypher, Louis
Gibson, Barbara J./David, Trevor
Phillips, Shannon/Coleman, Rosalyn
Silva, L. David/Adair-Rios, Mark
Boyd, Alexandra/Chuang, Susan
Balaguer, Asunci�n/Cobo, Roberto
Pons, Merc�/Balagu�, Carmen
Cristea, Eugen/Caroit, Philippe
Stefanson, Leslie/Adams, Joey Lauren
Gebel, Anja/Amerkamp, Erich
Lynne, Randi/Alonso, Maria Conchita
Plunket, Robert/Chowdhry, Ranjit
Graybel, Linda/Arnold, Tom
April/Davis, Marc
Western, Pam/Beahan, Kate
Schwartz, Sherwood/Brody, Adam
Benakouche, Latifa/Bahloul, Hicham
Labuda, Mari�n/Bod�, Viktor
Hill, Jonathan/Brooks, Susan
Carvajal, Eduardo/�lvarez, Juan Carlos
Davis, Richard/Hill, James
Maffren, Ludivine/Gouram, Zakariya
Gattas, Brian/Fischer, Jenna
Chalau, Carlos Alfonso/Palomino, Juan
Donnellon, Kate/Berman, Andy
Maren, Jerry/Briscoe, Jimmy
Zabriskie, Grace/Christopherson, Kathy
Ortiz, Ralph/Jones, Adam
Novotny, Mathew/Anderson, Andy
Carlson, Jennifer/Spanish, Jonny
Morris, Sarah/Alexi-Malle, Adam
Fisher, Tom/Albrecht, Richard
Whitehead, Jennifer/Adams, David
Kramer, Greg/Campbell, Emma
McKay, John/Arnett, Will
Brummer, Eric/Smith, William
Gurnett, Jane/Brown, Arnold
Kirk, Bonnie J./Coogan, Keith
Hollander, Ralf J./Asholt, Jesper
Foster, Robert/Proctor, Philip
Lo, Ken/Kwok, Aaron
Str�brn�, Dagmar/Han�k, Tom�s
Defrance, Brigitte/Caron, Fran�ois
Minns, Daniele/Churcher, Teresa
Carver, N. Barry/Bourgon, Aim�e
Ziegler, Susan/Beardsley, Michael
Watier, Martin/Adams, Steve
Barrett, Gaynor/Bennett, John
Paris, Vanessa/Bosworth, Brian
Eckert, Angela/Amedori, John Patrick
Zhang, Xue Xin/Cho, John
O'Dell, Nancy/Arquette, David
Navarro, Lol�/Armend�riz Jr., Pedro
Lawrence, Jeff/Barkin, Ellen
Jutra, Claude/Arias, Imanol
Bustos, Marco/Anderson, Stanley
Whalley, Joanne/Bennett, John
Edwards, Neville/Alessandroni, Henry
Brown, Gilbert/Fingaz, Sticky
Fujimoto, June/Jolivette, Vince
Ludwick, Tessa/Adkins, Seth
Brozius, Martin/Dousselaere, Michel van
Ravanello, Rick/Barrymore, Drew
Taveras, Francisco 'Coqui'/Bale, Christian
Ligotte, Philip/Costanzo, Robert
Haft, Linal/Gibney, Rebecca
Caruso, Daniel/Anthony, Chris
Matsushige, Yutaka/Miyazaki, Aoi
Rillie, Maisie/Hynes, Ron
McKenzie, Mike/Graham, Holter
Hosemann, Marc/Beglau, Bibiana
Marino, Rick/Chuang, Susan
Lovejoy, Ray/Bassett, William
Hicks, Michele/Boone Junior, Mark
Bowen, Levi/Harper, Keri
Iwai, Shunji/Hayashibara, Megumi
Darbinyan, Arthur/Ann-Margret
Bowen, Theresa/Daly, Tyne
Wade, Larry/Abraham, F. Murray
Michaely, Joel/Buzzotta, Dave
Levin, Elizabeth/Ambrose, Caroline
DeAngelo, Bobby/Black, James
Diong, Chae Lian/Lee, James
Oppedisano, Giuseppe/Bendula, Stefan
Brolati, Paola/Andrea, Vitalba
Kutac, Patrick/Amato, Steven
Valmont, Jean/Anger, J�r�me
Jonsson, Ulrika/Jones, Tom
Bonds, De'aundre/Dunphy, Jerry
Grace, Michelle/Coe, George
Loffredo, Paul/Auberjonois, Rene
Carrillo, Jos� Lopez/Fox, James
Guerrin, Jean/Dombasle, Arielle
Mullinar, Rod/Barry, Jason
Willis, Sally/Hempsall, Eric
Arikan, Jale/Bademsoy, Tayfun
Inghram, Dale/Cardinal, Tantoo
Mukhamadeyev, Dmitri/Panin, Andrei
Roney, Shanti/August, Pernilla
Natsume, Kai/Shintani, Mayumi
Ofczarek, Nicholas/Karl, Fritz
Canto e Castro/Cintra, Luis Miguel
Ma��, Laura/Bideau, Jean-Luc
Russo, Chelsea/Casella, Max
Chapman, Matt/Hamill, Mark
Weiss, Shelley/Gaytan, Keith Carlos
Hughes, Brian/Bailey, Jason
Bosc, Thierry/Bonamy, Olivia
Novello, Don/Alper, Eugene
Espinal, Jose/Calderon, Paul
Omar, Mouffak/Alterio, Ernesto
Baker, George/Belle, Camilla
Nicholas, Thomas Ian/Ageloff, Roy
Reno, Jean/Berlioux, Daniel
Shranny/Ambrose, Caroline
Errico, Melissa/Anderson, John
Bartolom�, Lourdes/Diego, Juan
Peixoto, Floriano/Bresser, Felix
Williams, Johnny/Addison, Walter
Champaign, Erin/Abbott, Deborah
Moffat, Jane/Becker, Oliver
Erb, Stephanie/Anderson, Stanley
Holden, Jeff/Gilbert, Brett
Colitti, Tony/Argenziano, Carmen
Johnston, J.J./Bax, Kylie
Parkinson, Isabella/Brendler, Julia
Mazin, Isabelle/Bideau, Jean-Luc
Fingler, Cedric/Albrecht, Richard
Yu, Ji-tae/Lee, Beom-su
Jaffer, Melissa/Cronin, Jeanette
Hakola, Saija/Sella, Seela
Bentt, Michael/Acevedo, Kirk
Bowman, Michael/Aaliyah
Collado 'El Flass', Paco/Baker, Dylan
Mello, Selton/Fagundes, Ant�nio
Duncan, Claire/Hobbs, Rebecca
Force, Jeffrey/Garr, Teri
Atkins, Crystal/Brody, Adam
Hahn, Jody/Betz, Shana
Schell, Con/Casseus, Gabriel
Mercier, Annie/Bendula, Stefan
Belmont, Lara/Arthur, Beatrice
Malkin, Sam/Baldwin, Daniel
Zeldin, Vladimir/Mironova, Mariya
Min�o, Jean-marc/Bernier, Mich�le
Kofod, Thomas/Boyd, Alexandra
Martin, John/Adams, Lillian
Fletcher, A.E./Freeman, Alfonso
Hensley, Lisa/Bossell, Simon
Gamble, Alex/Bachar, Dian
Wallace, Katelyn/Alexi-Malle, Adam
H�na, Jir�/Ch�lkov�, Ivana
Scantlebury, Samuel/Aguilera, Christina
Morrissey, Paul/Brown, Sloane
Burba, Charles/Diehl, John
McCharen, David/Anderson, Stanley
Warburton, Patrick/Arnold, Charlotte
Van Nieuwenhuyse, Bert/Anthony, Chris
Dotou, Grace/Giron, Catherine
Alcanter, Tony/Roberds, Michael
Bermeo, Cheryl/Adair-Rios, Mark
Godineaux, Edgar/Berry, Christopher
Clayton, Norma/Abbott, Deborah
Darmel, Robert/Abascal, Margot
Shepard, Jim/Brazeau, Jay
Farrow, Mia/Argenziano, Carmen
Romberger, Colt/Carradine, David
Ron, Lucky/Collins Jr., Clifton
Payton-Noble, Jo Marie/Mackenzie, Andy
Krape, Talia/McClements, Catherine
Rose, Julia/Reiner, Carl
Gertz, Walter/Banks, Morwenna
Stevens, Leslie/Aaron, Caroline
Dotou, Michel/Giron, Catherine
Doe, Baby Jane/Gennarino, Sabrina
De Coster, Dominique/Atkine, F�odor
Glanville, Jerry/Lipinski, Tara
Buckley, Paul/Binder, Mike
Vaillancourt, Etienne/Adams, Steve
Renauld, Isabelle/Holgado, Ticky
Lo Cascio, Elio/Terzieff, Laurent
Kluchert, Tobias F./Schmidt-Schaller, Andreas
Winkler, Henry/Ballard, Alimi
Calabrese, Fiorenza/Andrea, Vitalba
De Santis, Tony/Bondy, Christopher
Anderson, Daniel/Lane, Devinn
Halsted, Christopher/Chauvin, Lilyan
Corazza, Vince/Aasland, Derek
Scanlon, Joanna/Baldwin, Stephen
Snow, Janelle/Bauer, Christopher
Rosselli, Anthony/Bates, Bino
Bolen, Lynne/Bittone, Penny
Tsumak, Andrei/M�enp��, Outi
Lowe, Simon/Addy, Mark
Hall, Robert David/Asner, Edward
M'Jid, Dr. Najat/Alterio, Ernesto
Bass, Ari/Auberjonois, Rene
Starr, Robert/Addy, Mark
Tiplady, Brittany/Alonso, Maria Conchita
Jo, Hye-yeong/Park, Sang-Myeon
Matenopoulos, Debbie/Argo, Victor
Harrell, Freddie/Affleck, Casey
Kok, Danny de/H�pscher, Nadja
Mercer, Gene/Arkin, Adam
Astin, Sean/Cohen, Scott
Brochen, Julie/Arentz-Hansen, Lars
Kothan/Bain, Barbara
Countryman, Michael/Carides, Gia
Cross, Marcia/Hudson, Ernie
Larrieu, Jean-Marie/Arditi, Pierre
Pecheur, Sierra/Asner, Edward
Zurhelle, Georg/Hader, Josef
Blot, Marith�/Bohringer, Romane
Genty, Fran�ois/Ascaride, Ariane
Govino, Manny/Argenziano, Carmen
Capozzi, Marie/Akin, Philip
Mouthoub, Nadera/Bouvet, Jean-Christophe
Michaels, Kasper/Alexi-Malle, Adam
Taylor, Toni/Cullen, Christopher
White, Sharon/Arnold, Charlotte
Minka/Allen, Ginger Lynn
O'Brien, Kieran/Cathcart, Claire
Kasz�s, Attila/Balmer, Jean-Fran�ois
O'Dell, Nancy/Albertini Dow, Ellen
Sans, Jacques/Bernier, Mich�le
O'Sullivan, Frank/Pappalardo, Adriano
Amis, Danny/Booth, Kristin
Ogouz, Philippe/Duthilleul, Laure
Ramsay, Louie/Akhurst, Lucy
Orr, Richard/Bishop, Mark
Jiang, Wen/Amamiya, Naomi
Hansen, Geoff/Barnes, Adilah
Lentz, Mikkel/Andersson, Peter
Ashton, Mark/Basco, Dion
Fuica, Leonardo/Aaron, Caroline
Wills, Maury/Argenziano, Carmen
Costabile, David/Argento, Jayson
Mars, Kenneth/Kanagawa, Hiro
Bond, Jocelyn/Bailey, Jason
Silva, Sandra/Bresser, Felix
Potter, Dagan/Avery, Rick
Cubero, F�lix/Azor�n, Eloy
Vidal, Lisa/Baldwin, Alec
Boileau, Jay/Asner, Edward
McGarry, Triona/Pappalardo, Adriano
Macaluso, Mario/Bradshaw, Andy
Pickens Jr., James/Ageloff, Roy
Henry, Tim/Alonso, Maria Conchita
Lumby, Jeff/Bishop, Kirsten
Pinette, John/Alexi-Malle, Adam
Kane, Silvana/Affleck, Casey
Doleman, Devery/Aaron, Caroline
Sun, Richard/Endo, Kenichi
Wolf, Jamie/Amedori, John Patrick
Bloom, Charlene/Basinger, Jeanine
Sehlstr�m, Erik/Scheja, Rebecca
Williams, Karen/Ameyaw, Kwesi
Wisniewski, Steve/Bain, Barbara
Yokoyama, Kazuhiro/Basinger, Jeanine
Sikin, Ben/MacNeille, Tress
Jaeger, Sam/Christopher, Tyler
Holmer-K�rell, Carl-Robert/Bergstr�m, Helena
Weston, Celia/Baird, Maggie
Sawada, Kenya/Amamiya, Naomi
Ramos, Jos� Lirola/Benfield, John
Gould, Elliott/Boone Junior, Mark
Derek, Steven/Boen, Earl
Buy, Margherita/Bahloul, Hicham
Dillon, Alison/Atkine, F�odor
Soumi, Y�ko/Loh, Mayu
Babington, Danny/Buchanan, Colin
Hattem, Rose Ace/Adair-Rios, Mark
Alder, Jill/Chuang, Susan
Wong, Wilson/Aasland, Derek
Hull, Mike/Ambrose, Caroline
Johnson, Brooke/Bradley, Justin
Olsson, Henrik/Bergqvist, Tommy
Tse, Michael/Cheng, Mark
Nowicki, Tom/Bullock, Sandra
Baldwin, Jody/Claxton, Elaine
Pasterkamp, St�phanie/Bateman, Geoffrey
Lum, Benjamin/Ariola, Julie
Turco, Paige/Costanzo, Robert
Larocque, Martin/Cassel, Jean-Pierre
West, Chandra/Berry, Christopher
Krause, Courtney/Acevedo, Kirk
Klineman, Kent/Cheadle, Don
Lewe Van Award, Marie Claire/Baker, Dylan
Contin, Virginie/Bertin, Fran�oise
Oldham, Jonathan/Branagh, Kenneth
Matihabo, Harold 'Speedy'/Bauer, Steven
Belladonna/Mandingo
Reid, Tara/Abbott, Deborah
Majors, Austin/Arthur, Beatrice
Levy, Ron/Davis, Duane
Clausen, Erik/Asholt, Jesper
Wong Ga Lok, Jimmy/Chan, Jordan
Yukino, Satsuki/Amamiya, Naomi
Freeman, Lucy/Barker, Ronnie
Woods, James/Goff, Carolyn
Eville, John/Marcus, Mr.
Wynne, Jon Ted/Brown, David
Nogueira, Ana Beatriz/Ampudia, Isabel
Seymour, Lynn/Bisset, Jacqueline
Younghusband, Andrew/Aasland, Derek
Stansbury, John/Bachar, Dian
Chen, Terry/Caton, Robert Randolph
Seibt, Esther/Garbers, Gerhard
Falk, Anton/Markel, Tarri
Pena, Alexis/Winbush, Troy
de Medina, Nieve/Ampudia, Isabel
Vakkila, Jenni/Nousiainen, Heikki
Watkin, Kel/Grate, Brenda
Mu�iz, Berta/Adjemi�n, Mart�n
Gugushe, Biski/Airlie, Andrew
