Ferris, Barbara/Bull, Peter
Sayers, Jo Ann/Aylesworth, Arthur
Bella, Rachael/Belle, Camilla
Quigley, Godfrey/Barsi, Judith
Leake, Cynthia/Cleese, John
Pinchot, Bronson/Ashton, Joseph
Stanford, Chuck/Braun, Pinkas
Vasekova, Claudia/Dorsey, Kevin
Bridges, Lloyd/Kelly, Brian
White, Sheryl/Perkins, Larry
Krape, Evelyn/Browne, Roscoe Lee
Masina, Giulietta/Boyer, Charles
Clark, Kippy/Harris, Julie
Spohn, Patrick/Angarola, Richard
Henry, William/Acosta, Rodolfo
McCarthy, Lin/Marshall, E.G.
Chandler, Lane/Ayres, Lew
Hallier, Lori/Harrison, Gregory
Banicevic, Petar/Brooks, Mel
Mitchell, Gordon/Ansara, Michael
B�hm, Karlheinz/Backus, Jim
Clarke, Gage/Ames, Leon
Montei, Amanda/Amandes, Tom
�lvarez, �scar/Craig, Michael
Otto, William/Culkin, Macaulay
Elias, Jeannie/Allen, Elizabeth
Mari, Keiko/Gondo, Yukihiko
Hartman, Tom/Fisher, Shug
Shaw, Reta/Albert, Eddie
Bergman, Mary Kay/Belle, Camilla
Hill, Ralston/Bassett, William
Cording, Harry/Aylesworth, Arthur
Valgoi, Mario/Beckley, Tony
O'Loughlin, Gerald S./Bill, Tony
Baucin, E./Adam, Ronald
Mannock, Terrence Winston/Kristofferson, Kris
Eastham, Richard/Ayres, Lew
Renhard, Ann/Harris, Julie
Johnson, Ben/Baxter, Alan
Speights, Leslie/Bell, Michael
Fredericks, David/Barber, Gillian
Kaley, Nevena/Balk, Fairuza
Lee, John Rafter/Foster, Jodie
Rogers, Wayne/Gerrish, Frank
Bellflower, Nellie/Arkin, Alan
Crane, Norma/Collier, Patience
Bush, James/Alden, Eric
Halliday, Heller/Marks, Joe E.
George, Lynda Day/Agar, John
Hughes, Andrew/Ibuki, Toru
Boo Khoo, Ian/Bluto, Tony
Matsushita, Hiromi/Daimon, Masaaki
O'Connell, Patrick/Dalton, Timothy
Gage, Ali/Andrews, Julie
Heston, Charlton/McDowall, Roddy
Jones, Ken/Cossins, James
Wells, Don/Bridges, Lloyd
Kaye, Danny/Boyer, Charles
McClowry, Lisa/Proctor, Philip
Brewer, Griffith/Karras, Alex
Keno/Salonga, Lea
Moordigian, Dave/Doohan, James
Lippe, Jonathan/Bill, Tony
Soderling, Walter/Bondi, Beulah
Gottesman, Ronald/Carradine, David
Deems, Mickey/Carroll, Pat
Hagen, Jean/Albertson, Jack
Douglass, Pi/Dennen, Barry
Charles, Walter/Constantine, Michael
Robards, Jason/Jones, Hank
Gifford, Hazen/Braverman, Marvin
Roland, Guillermina/Armstrong, R.G.
De Wilde, Brandon/Brennan, Walter
Parry, Natasha/Abbott, Pamela
Martin, Kiel/Agar, John
Goodhand, Donna/Ashmore, Shawn
Forbes, Mary/Bevan, Billy
Langdon, Rose/Allen, Harry
Besso, Claudia/Caloz, Michael
Raggio, Lisa/Angel, Jack
Tubert, Marcelo/Berger, Gregg
Cooper, Jeff/Ames, Trudi
Leighton, Margaret/Boyer, Charles
Hood, Morag/Andrews, Harry
McCallum, David/Bridges, Lloyd
Peden, Jocelyn/Alexander, Jason
Capucine/Cushing, Peter
Sleigh, William/Cushing, Peter
Howes, Sally Ann/Arne, Peter
Hingle, Pat/Barsi, Judith
Hayes, Charles/Davenport, Nigel
Macollum, Barry/Allen, Harry
Kotto, Yaphet/Anderson, John
McCurry, John/Abraham, F. Murray
Rabbett, Martin/Robertson, Cliff
Beach, Shannon L.A./Tobolowsky, Stephen
Darrell, Katrina/McCoy, Matt
Henesy, Sharon/Armstrong, R.G.
Williams, Liberty/Adrian, Iris
Unkrich, Hannah/Allen, Tim
Gray, George/Bacall, Lauren
Dorsey, Tony/Laine, Denny
Roberts, Aled/Baker, George
Graham, John/Bass, Alfie
Endelson, Tracie/Flower, George 'Buck'
Wood, Julie/Coleman, Michael
Gottfried, Gilbert/Welker, Frank
Binkley, Tyler/Imhoff, Gary
Osterloh, Shelley/Chandler, David
Gillmore, Margalo/Marks, Joe E.
David, Keith/Angel, Jack
Polishchuk, Roman/McKellen, Ian
Prater, Matthew/Bell, E.E.
Ortega, John/Corby, Ellen
Christofferson, Debra/Amandes, Tom
O'Regan, James/Frank, Kevin
Myczyszyn, Corey/Karras, Alex
Winston, Matt/McCoy, Matt
Beach, James/Flynn, Joe
Sokoloff, Harvey/Frank, Kevin
Sullivan, Barry/Caulfield, Joan
Lewis, Ted/Ootani, Ikue
Long, Matthew/Bartlett, Charles
Kestin, Lea/Dennen, Barry
Driscoll, Tex/Adams, Nick
Beaumont, Robert/Davenport, Nigel
Quinn, Patrick/Azaria, Hank
Weiland, Max/Atkinson, Rowan
Cantinflas/Adam, Ronald
Hank, Kunu/Benson, Lucille
Vincent, Meredith/Ballard, Ray
Cabeen, Boyd/Adam, Ronald
M�nsted, Leif/Hinrichsen, Niels
Mitchell, Warren/Bass, Alfie
P�csi, S�ndor/Burleigh, William
Matsumoto, Somesho/Adams, Nick
Perron, Michel/Caloz, Michael
Mann, Corey/Brazeau, Jay
Graham, Fred/Douglas, Kirk
Horvath, Jan/Azaria, Hank
Coker, Salami/Christian, Kurt
Hammond, Roger/Fox, James
Howard, Wyn L./Gerrish, Frank
Lupton, John/Abbott, John
French, Victor/Almanzar, James
Novis, Donald/Darlington, Marion
Perkins, Jack/Almanzar, James
Novotna, Jarmila/Blyth, Ann
Waldhorn, Gary/Adam, Ronald
Petrie, George/Bill, Tony
Hearn, Edward/Bacon, Irving
Valentine, Graham/Ayres, Rosalind
Talbot, Ogden/Brooke, Walter
Croft, Valerie/Chevalier, Maurice
Corrado, Gus/Angarano, Michael
Bruggeman, George/Adam, Ronald
Elliott, Edythe/Alden, Eric
Evelyn, Judith/Adams, Nick
Peterson, Jennifer/Harris, Julie
David, Thayer/Baker, Diane
Curtis, Clive/Cushing, Peter
Kenney, Larry/Dana, Al
Moore, Mavor/Fields, Charles
von Zerneck, Danielle/Galt, John William
Leigh-Hunt, Ronald/Bell, Alfred
Lancaster, Ann/Burleigh, William
Hill, Valerie/Baker, Frank
Price, Joe Allen/Andrews, Julie
Sciama, Dennis/Wheeler, John
Besschetnyj, Konstantine/McKellen, Ian
Rifkin, Ron/Dern, Bruce
Jelinek, Bibi/Lom, Herbert
Thewlis, David/Ayres, Rosalind
Ciamaca, Julien/Modo, Michel
Higata, Kazuo/Conway, Harold
Keller, William A./Carroll, Brandon
Mitchell, Daryl/Bader, Diedrich
Irwin, Charles/Crisp, Donald
O'Brien, Mary/Brooke, Walter
Luft, Uriel/Fauteux, Jacques
Brooke, Lindsey/Bell, E.E.
Reddemann, Manfred/Andrews, Harry
Marshall, E.G./Martel, Arlene
Livneh, Shmuel/Ben-Sira, Ya'ackov
Armin, Robert/Bernhard, Sandra
Nevinson, Gennie/Bartlett, Charles
Midkiff, Dale/Brazeau, Jay
Daniell, Henry/Alderson, John
Rose, Roger/Allen, Elizabeth
Mendenhall, Jim/Bill, Tony
Nomura, K�z�/Ito, Hisaya
Jarvis, Frank/Beckley, Tony
Kranzler, Emil/Bambury, John T.
Siragusa, Peter/Bader, Diedrich
Frost, Frank/Goodman, John
Pidgeon, Rebecca/Hawthorne, Nigel
White, Arthur/Abbott, Pamela
Creed, Roger/Ballantine, Carl
Allen, Lester/Ayres, Lew
Wheeler, Russ/Brennan, Eileen
Lauris, George/Bradford, Jim
Pertwee, Jon/Ackland, Joss
Czerny, Henry/Ashmore, Shawn
Craig, Yvonne/Flynn, Joe
Kaltenborn, H.V./Bavier, Frances
Judd, Don A./Baker, Karily
Davion, Alexander/Craig, Michael
Erhard, Bernard/Bell, Michael
Parker, Bret 'Brook'/Angel, Jack
Alegata, Emil/Adam, Ronald
Stephens, Laraine/Alderson, John
Constantinov, Mark/Brazeau, Jay
Coontz, Bill/Fisher, Shug
Tranquilli, Silvano/Loren, Sophia
Michenaud, Gerald/Caulfield, Joan
Kyrkjeb�, Sissel)/Dorsey, Kevin
Hunter, Barbara/Berle, Milton
Eldridge, Phyllis/Balsam, Martin
Hickey, Tom/Holloway, Stanley
Gassman, Vittorio/Adorf, Mario
Wyman, John/Cushing, Peter
Rickles, Don/Kennedy, George
Agee, Tawatha/Angel, Jack
Karlin, Bo Peep/Ames, Trudi
Gorman, Stephanie/Ames, Trudi
Borzage, Danny/Adam, Ronald
Kendall, John/Begley Jr., Ed
Doermer, Christian/Abbott, Pamela
Clare, Ina/Ayres, Rosalind
James, Horace/Beckley, Tony
Marin, Jason/Angel, Jack
Ross, Joe E./Ameche, Don
Spencer, Bud/Carey Jr., Harry
Mendez, Bryan/Brooke, T.L.
Meyer, Greta/Treacher, Arthur
Gordon, Roy/Allwyn, Astrid
Humble, Jonathan/Brazeau, Jay
Peace, Westin/Baker, James
Brown, Pepe/Andrews, Edward
Saxon, John/Carter, Terry
Brainard, Tom/Abraham, F. Murray
Kurtz, Swoosie/Begley Jr., Ed
Aruhn, Britt-Marie/Darling, Jane
Hathaway, Kellen/Angel, Jack
Drake, Alfred/Dana, Al
MacKintosh, Kenneth/Jacobi, Derek
Sitahal, Errol/Belle, Camilla
Random, Robert/Brown, Jim
Ashley, John/Beatty, Robert
Rouse, Graham/Bell, Alfred
Johnston, Justine/Doohan, James
Hung, Ming/Brown, Jim
Bradford, Darcie/Belle, Camilla
Taylor, Veronica/Ootani, Ikue
Blyth, Ann/Brocco, Peter
Swedberg, Heidi/Kennedy, George
Richards, Addison/Curtis, Donald
Harmon, Joy/Boles, Jim
Lindsey, George/Baddeley, Hermione
Albonico, Isabella/Davies, Rupert
Peach, Jane/Baskcomb, John
Schneider, Fred/Proctor, Philip
Takashima, Tadao/Hirata, Akihiko
MacDonald, Kenneth/Ansara, Michael
Lafferty, Marcy/Doohan, James
Farrelle, Denise/Bell, E.E.
Cook, Ron/Bluto, Tony
Ashmore, Shawn/Bourgeois, John
Hawkins, Frank/Carver, Peter
Elliott, Dick/Bacon, Irving
Sen, Aparna/Foster, Barry
Standing, Michael/Beckley, Tony
Gilbert, Henry/Adam, Ronald
Achterberg, Monica/Bikel, Theodore
Kent, Dorothea/Braun, Pinkas
Fraiseau, Marc/Pr�boist, Jacques
Lyneh, Joe/Clive, John
Wheeler, Andrew/Alexander, Jason
Ashkenazy, Irvin/Bevans, Clem
Stoklosa, Carolyn/Harris, Julie
Stoll, David/Baker, Frank
Morello, Joe/Bradford, Jim
Donner, Robert/Baxter, Alan
Dee, Protacio/Salonga, Lea
Iwerks, Ub/Grammer, Kelsey
King, Duane/Amsterdam, Morey
Walker, Zena/Dalton, Timothy
Fisher, Bill/Anderson Jr., Michael
Campbell, Christian/Frank, Kevin
Thomas, Al/Copley, Peter
Downs, Dermott/Albert, Eddie
Stevens, Ira/Allen, Harry
Benn, Krystal/Beswick, Quinn
Dano, Royal/Baer, Parley
Waring, Fred/Colvig, Pinto
Mann, Danny/Oz, Frank
Hall, Grayson/Adrian, Iris
d'Amboise, Jacques/Blake, Larry J.
Theodore, Brother/Arkin, Alan
Dorr, Lester/Brennan, Eileen
Swofford, Katie/Baker, Karily
Watt, Mildred/Mahoney, Jock
Haggerty, Dan/Pyle, Denver
Blaustein, Addie/Ootani, Ikue
King, Mabel/Brown, Johnny
Elliot, 'Mama' Cass/Barty, Billy
Lavi, Efrat/Ben-Sira, Ya'ackov
Takei, George/Askew, Luke
Golsby, Kevin/Betz, Carl
Wynne, Peggy/Dean, Roy
Lockwood, Gary/Ashley, John
Rice, Gertrude H./Bambury, John T.
Harrington, Robert/Marks, Joe E.
Percheskly, Charles/Dean, Roy
Zivojinovic, Velimir 'Bata'/Brynner, Yul
Nefsky, Malcolm/Ashmore, Shawn
Ogata, Rinsaku/Nakajima, Haruo
Shepard, Jan/Ahn, Philip
Rohm, Maria/Lester, Mark
Schnebly, Lindsay/Ashton, Joseph
Grant, Lawrence/Crisp, Donald
Darc, Mireille/Bourvil
Bohan, John/Crandall, Brad
Asther, Nils/Ames, Leon
Ash, Russell/Adam, Ronald
Dixon, Glenn/Adrian, Iris
Haru, Sumi/Baker, Diane
Silberg, Joshua/Baker, James
Darc, Katherine/Brooke, Walter
Collins, Phil/Angel, Jack
Cranham, Kenneth/Baskcomb, John
Reed, Robert/Elcar, Dana
Oppenheimer, Alan/Adrian, Iris
Kellogg, Ray/Dean, Roy
Bro, Vigga/Hinrichsen, Niels
Wilson, Jan/Carver, Peter
Lye, Reg/Chitty, Erik
Hillel, Moshe/Ben-Sira, Ya'ackov
Fr�be, Gert/Arne, Peter
Wordsworth, Richard/Adam, Ronald
Warde, Anthony/Alden, Eric
Trigger, John/Abbott, Pamela
Shroyer, Sonny/Anderson, John
Ferrell, Bill/Andrews, Julie
Grace, Martin/Bresslaw, Bernard
Campbell, Bruce/Barber, Gillian
Petersen, Else/Andersson, Bibi
Gough, Michael/Bennett, Jill
De Normand, George/Benedict, William 'Billy'
Raia, Matthew/Bambury, John T.
Wylie, Frank/Jacobi, Derek
Beach, Adam/Damante-Shaw, Susan
Schwab, Lana/Farnsworth, Richard
Jones, Jane/Ameche, Don
Madoc, Ruth/Collier, Patience
Stuart, Katie/Brimley, Wilford
Ashihara, Kuniko/Kusakawa, Naoya
Menges, Joyce/Baer, Parley
Bruning, Robert/Betz, Carl
Fullmer, Carly/Clyde, Craig
Roker, Roxie/Crandall, Brad
Moore, Ida/Ayres, Lew
Gerber, Mark/Allen, Elizabeth
Mitrovich, Marta/Ayres, Lew
Bentley, Paul/Braun, Pinkas
Rotondi, Cesare/Brennan, Eileen
De Wolff, Francis/Clark, Fred
Crouch, Sharon/Charlton, Bill
Nichol, Ruth/Jones, Freddie
Arthur, Maurice/Abbott, Pamela
Fuller, Barbara/Brooke, Walter
Rubes, Susan Douglas/Balk, Fairuza
Bonham-Carter, Crispin/Belle, Camilla
Goodwin, Jim/Bill, Tony
Clydesdale, Gareth/Allen, Elizabeth
Ruggles, Charles/Carroll, Leo G.
Jacob, Ir�ne/Baker, Frank
Simpson, Mickey/Adams, Nick
Bayly, Lorraine/Bell, Alfred
Hill, Marianna/Ahn, Philip
Buchanan, Edgar/Boles, Jim
Joss, W.D./Gloag, Helena
Okello, Martin/Coogan, Keith
Dalio, Marcel/De Fun�s, Louis
Knight, Davidson/Foster, Jodie
Hubinet, Henri/Brennan, Eileen
Caan, James/Alexander, Keith
Taylor-Isherwood, Emma/Takei, George
Reiser, Edgar/Mullaney, Jack
Moskona, Aryeh/Ben-Sira, Ya'ackov
Farmer, Margaret/Harris, Julie
McCary, Rod/Carney, Alan
Finlayson, Marion/Allen, Rex
Asher, Eula/Adam, Ronald
Miljan, John/Ansara, Michael
Calnan, Mathilda/Abercrombie, Ian
Brown, Don/Benson, Jodi
Bri�re, Yveline/Braeden, Eric
Manning, Stacy/Adrian, Iris
Warden, Jack/Cleese, John
Zeider, Orsolya/Burleigh, William
Garber, Matthew/Wynn, Ed
Montagnani, Renzo/Dalio, Marcel
Matsumoto, Koshiro/Conway, Harold
McKean, Michael/Alexander, Jason
Doncheff, Len/Ashmore, Shawn
Winters, Jonathan/Broderick, Matthew
Ilimaiti, Strong/Dunham, Robert
Pedro, Ellario/Bayldon, Geoffrey
Cuthbertson, Iain/Agutter, Jenny
Nelson, Jonathan/Brazeau, Jay
Syms, Sylvia/Jackson, Gordon
Chambers, Terry/Basil, Toni
Aldridge, Virginia/Baer, Parley
Russell, Kurt/Hewitt, Alan
Lupino, Richard/Ansara, Michael
Bronte, James/Grant, Kathryn
Koval, Vladimir/Dorsey, Kevin
Dubois, Richard/Bernhard, Sandra
McNamara, Major James H./Alexander, Ernie
MacMurray, Fred/Kirk, Tommy
Scott, Pippa/Broun, Heywood Hale
Cooler, John/Anderson, John
Smith, Nicholas/Brooks, Mel
Harris, Ray/Barry, Ivor
Hayamizu, Arai/Conway, Harold
Persichitti, Franco/Brennan, Eileen
Dearlove, Jack/Barkworth, Peter
Houghton, Shep/Alden, Eric
Meyer, Orville/Benson, Lucille
Jackson, Jeremy Kent/Farnsworth, Richard
Barrett, Tim/Ayres, Rosalind
Bishop Jr., Howard W./Crandall, Brad
Rasberry, Kellie/Galt, John William
Williams, Walter/Bourvil
King, Wright/Burke, Eldon
Tryon, Tom/Albert, Eddie
Kobe, Gail/Ansara, Michael
Taylor, Ren�e/Bacall, Lauren
Joyce, Susan/Benson, Lucille
Miller, Karl Lewis/Bartlett, Charles
Widdoes, Kathleen/Andrews, Harry
Rougeul, Jean/Copley, Peter
Leyden, Leo/Bassett, William
Sadowska, Carolyn/Doohan, James
Rechenberg, Otto/Agutter, Jenny
Miner, Worthington/Abraham, F. Murray
Curtis, Donald/Davenport, Harry
Okuma, Enuka/Barber, Gillian
Ridgely, Robert/Barzman, Alan
Okabe, Susumu/Gondo, Yukihiko
Little Sky, Dawn/Adrian, Iris
Walton, Jennie/Adam, Ronald
Guerrini, Orso Maria/Davies, Rupert
Wilkinson, Wallace K./Anderson, John
Charney, Suzanne/Angarola, Richard
Ames, Leon/Andrews, Edward
Altmann, Dora/Albertson, Jack
Neise, George N./Adrian, Iris
Erdman, Richard/Daly, Jonathon
Sakai, Sachio/Nakajima, Haruo
Bartlett, Calvin/Bryant, William
Beauvy, Nicolas/Bromilow, Peter
Kells, Janie/Ayres, Rosalind
Davis, J. Teddy/Bacall, Lauren
Davis, Jim/Baylor, Hal
Fox, Colin/Almos, Eva
Kylcsar, Mike/Braeden, Eric
Bennard, Fran�ois/Pr�boist, Jacques
Robinson, Ann/Alden, Eric
Barth, Eddie/Allen, Elizabeth
Landers, Audrey/Namath, Joe
Marshall-Fricker, Lily/Andrews, Julie
Taylor, Cindy/Baer, Parley
Coyle, James/Abbott, John
Dremann, Beau/Darden, Severn
Boyd, Doug/Foray, June
Hatchett, Inez/Alden, Eric
Ramsey, Ian/Connors, Chuck
Hershey, Barbara/Carroll, Pat
Mitchell, Cameron/Askew, Luke
Kigada, Lydia/Coogan, Keith
Jarvis, Bill/Aris, Ben
Irving, Amy/Cavadini, Cathy
Cutler, Brian/Damante-Shaw, Susan
Nichols, Joy/Audley, Maxine
Eddings, John/Barsi, Judith
Stiller, Jerry/Baker, Dee Bradley
Innocent, Harold/Bron, Eleanor
Levchenko, Vladimir/Davies, Rupert
Vicarte, Carmen/Cooper, Jeff
Morrison, Roger/Ayres, Rosalind
Fox, David/Ashmore, Shawn
Spear, Bernard/Arne, Peter
Johnson, Brock/Barber, Gillian
Brischof, Kenneth/Adam, Ronald
Marsh, Sally Ann/Dobson, Paul
Williams, Polly/Ayres, Rosalind
Davis, Lou/Bacon, Irving
Harris, Richard/Bromilow, Peter
Bartlett, Peter/Cargill, Patrick
Brown, Chelsea/Angarola, Richard
Hubbard, John/Carney, Alan
Pendarvis, Leon/Brown, Johnny
Radley, Ken/Allen, Elizabeth
Strode, Woody/Ali, Muhammad
Costello, Dwayne/Bell, E.E.
Potter, Monica/Johnson, Ashley
Capri, Ahna/Carter, Terry
Johnson, Marc Damon/Angarano, Michael
Corot, Jacqueline/Pr�boist, Jacques
Forbes, Emma/Barkworth, Peter
Ravel, Alfred/Griffith, Kenneth
Gardner, Shay/Ripley, Jay
Lamonte, Johnny/Battley, David
Blowers, Sean/Ayres, Rosalind
Edelman, Herb/Albertson, Mabel
Wadham, Joe/Carver, Peter
Hammond, Darrell/Richardson, Ian
Hickox, Harry/Dean, Roy
Allen, John/Baker, Stanley
Moor, Dom/Copley, Peter
Taylor, Dub/Brown, Jim
Lodge, Jimmy/Allen, Patrick
Ridley, Paul/Lennon, Jarrett
Peters, Brock/Barry, Ivor
Tsubono, Kamayuki/Adams, Nick
Blu, Susan/Welker, Frank
Palmer, Renzo/Law, John Phillip
Rea-Baum, Alexandra/Belle, Camilla
Heath, Eric/Alderson, John
Kawalkowski, Daru/Andrews, Julie
Hamblett, Susan/Barkworth, Peter
Johnson, Rafer/Baker, Stanley
Polinsky, 'Prince Leon'/Bambury, John T.
Maude-Roxby, Roddy/Baddeley, Hermione
Delaney, Pat/Bakalyan, Richard
Maclennon, Donald/Collier, Patience
Cotsworth, Staats/Abraham, F. Murray
Heard, Daphne/Jacobi, Derek
McDonald, John/Chakiris, George
Kellaway, Cecil/Ansara, Michael
Corre, Sadie/Battley, David
Ruman, Sig/Treacher, Arthur
Thordsen, Kelly/Ameche, Don
Baker III, Forrest S./Baker, Karily
Sevin, Jim/Johnson, Ashley
Sirois, Myriam/Barr, Kathleen
Willsher, Maureen/Chakiris, George
De Laurentiis, Veronica/Davies, Rupert
Stange-Wahl, Louise/Doohan, James
Bennett, Fran/Adams, Nick
Henson, Elizabeth/Brown, Pamela
Evans, Mal/Bass, Alfie
Claxton, Richard/Dorsey, Kevin
Grief, Mike/Bell, E.E.
McGeagh, Stanley/Abbott, Pamela
von Aroldingen, Karin/Culkin, Macaulay
Kendrick, Henry/Conforti, Gino
Scott, Bob/Angel, Jack
Bond, Toni/Adam, Ronald
McGrath, Brian/Lester, Mark
Gordon, Gay/Berlinger, Warren
Thomas, Lowell/Raye, Martha
Adams, Lillian/Brocco, Peter
Scott-Taylor, Jonathan/Foster, Jodie
Miller, Bryce/Brazeau, Jay
Platt, Howard/Alderson, John
Quarmby, John/Ayres, Rosalind
Manesse, H�l�ne/Pr�boist, Jacques
Faulkner, Sally/Burleigh, William
Karin, Rita/Clark, Roy
Hyer, Martha/Egan, Richard
DeLyle, Monti/Arne, Peter
Goodman, John/Angel, Jack
Cummings, Jim/Welker, Frank
Daneman, Paul/Abbott, Pamela
Feinstein, Alan/Keith, Brian
Pickup, Ronald/Jacobi, Derek
Huffman, Rosanna/Mann, Danny
Hunter, Holly/Perkins, Larry
Jim, Marion/Brynner, Yul
Greene, Stanley/Karen, James
Tayback, Vic/Barsi, Judith
Mann, Dave/Borgnine, Ernest
Marsh, Gary/Bromilow, Peter
Godfrey, Bob/Bass, Alfie
McRae, Michelle/Harris, Julie
Schildkraut, Joseph/Abbott, John
Batten, Peter/Clive, John
Lane, Iva/Doohan, James
Lyon, Robert W./Culkin, Macaulay
Hagon, Garrick/Angel, Jack
Marshall, Anne T./Flynn, Joe
Smith, Hal/Andrews, Edward
Petric, Vlada/Brooks, Mel
Patterson, Reta/Clyde, Craig
Carol, Martine/Adam, Ronald
Nichols, Dandy/Magee, Patrick
Rougerie, Jean/Modo, Michel
Hillie, Verna/Alexander, Ernie
Shimura, Takashi/Conway, Harold
Moranis, Rick/Barr, Kathleen
Whittingham, Harry/Bron, Eleanor
Tomasulo, Christa/Bernhard, Sandra
von Wiese, Ursula/Mullaney, Jack
Mancini, Al/Allen, Elizabeth
Lytton, Herbert/Alden, Eric
Clark, Jason/Anderson, John
Montes, Frank/Tobolowsky, Stephen
May, Paul/Allen, Elizabeth
Warshawsky, Ruth/Savage, Brad
Scurfield, Matthew/Ayres, Rosalind
Pickens, Slim/Armstrong, R.G.
Kistler, Darci/Culkin, Macaulay
Formica, Fern/Bambury, John T.
Camp, Joe/Bavier, Frances
Fuentes, Reuben)/Brynner, Yul
Schell, Maximilian/Baker, Diane
Van Fleet, Jo/Armstrong, R.G.
De Barros, Mario/Carlson, Richard
Stevens, Naomi/Daly, Jonathon
Turner, Debbie/Andrews, Julie
Warren, Fred/Alden, Eric
Derr, Richard/Astor, Gertrude
Tracy, Spencer/Crisp, Donald
Richardson, Greg/Goodman, John
Domasin, Dolores/Adams, Mason
Hamill, Mary/Duell, William
