Erlich, Norman/Alc�n, Alfredo
Simon, Jill Marie/Allen, Tommy
Gabiola, Violy/Strzalkowski, Henry
Mashnaya, Olga/Leonov, Yevgeni
Reinold, Bernard A./Hendricks Jr., Ben
Dechamps, Charles/Dubost, Paulette
Fuest, Robert/Bates, Richard
Maierhouser, Joe/Bernard, Maurice
Vaughn, Henry/Anderson, Bruce
Petrenko, Vassily/Carter, Jimmy
Williard, Steve/Aard, Frank J.
Gorski, Alexandra/Arel, Fabienne
Steele, George/Adler, Luther
Hancock, Graham/Karn, Richard
Nolan, Margaret/Maynard, Bill
Browning, Jill/Taylor, Ferris
Sinkovits, Imre/Bessenyei, Ferenc
Peng, Mike/Anderson, Richard
Gillis, Mark/Annis, Francesca
Baerwalde, David/Devona, Phillip
Koumpan, Alexander/Benedict, Jay
Johansen, David/Plummer, Christopher
Gittleman, Milton/Clark, Linda
Kay, Geraldine/Bohn, John
Fregeac, Rapha�l/Aumont, Marie-Dominique
Johnson, Brad Eric/Halihan, Kelli
Crowder, Christina/Cameron Mitchell, Christina
Ching, Peter/Moss, Jim
Andersson, Eva/Alexander, Rolf
Tigerholm, Magnus/Arosenius, Per-Axel
Danielsen, Jimmi H�gh/Glargaard, Poul
Galante, Rudolph/Armenta, F.A.
Hauthier dit Preston, Jean/Le Brigant, Sylvie
Schr�der, Bolette/Skarsg�rd, Stellan
Sohma, Ippei/Allison, Patricia
Hannon, Dan/Finlay, Frank
Levin, Marc/Allen, Penelope
Silver, Joe/Avalon, Frankie
Stewart, Joshua Dean/Heaton, Tom
Herrera, Leticia/Azor�n, Eloy
Fanaro, Mary/Adell, Traci
Corncob/Mayo, Frank
Jones, Liz/Anhalt, Edward
Rae, Stephen/Hickey, Paul
Levinson, Ellis/Albulescu, Mircea
Whaler, Blair/Richardson, Jay
Petersson, Oscar/Carradine, David
Symons-Sutcliffe, Alex/Steele, Lexington
Alexander, Jean/Anderson, John
Francis, Anthony/O'Connor, Frank
Mart�nez, Antonio/Palma, Rossy de
Tennstedt, Joachim/Frank, Horst
Ivans, Elaine/Hardy, Oliver
Levin, Hilde/Graber, Yossi
Fretz, Tony/Lane, Nathan
Van Hellem, Huib/Betz, Kris
Thomas, Marlo/Lazenby, George
Straub, John/Blount, Steve
Florelle/Clariond, Aim�
Mau, Doan Chau/Cage, Nicolas
Anderlini, Cristina/Bersh, Christopher
Grossfeld, Sid/Ray, Aldo
Stavrakas, Dimitri/Panagiotidis, Alkis
Curiel, Fernando/Bacon, Irving
Amir, Saffron/Edwards, Jango
Luden, Jack/Martindel, Edward
Furtak, Evelyn/Harrell, James N.
Einstein, Carolyn/Angel, Vanessa
Marcq, Nick/Barnes, Barbara
Kortos, Peter/Ford, Francis
Velasco, Jerry/Dale, Esther
Bykoff, Vladimar/Chandler, George
Chambers, Dan/Dix, Richard
Moon, Joan/Breuer, Pascal
Most, Don/Welker, Frank
Haugsvaer, Gunnar/Bernhoft, Unni
Lowman, Jay/James, Sid
Tyler, James/Gammon, James
Javid, Krysia/West, Red
Plumhoff, Wolfgang/Amerkamp, Erich
Potter, Diane/Francis, Derek
Brown Jr., Herb/Ardito, Gino
Lee, Milton/Phelps, Lee
Tuominen, Matti/Pellonp��, Matti
Georgoulis, Kimberly/Walcott, Gregory
Shamaei, Hooshang/Karimi, Niki
Kampinga, Fritz/Courbois, Kitty
Chan, Mrs./Devine, Raquel
Tilden, Leland/Baxter, Jennifer
Marggraf, Ilse/Sander, Otto
Monticelli, Mimma/Bonos, Gigi
Feeney, Mary/Barker, Eric
Albrecht, Marcy/Pleasence, Donald
Zignon, Yelena/Bell, Francis
MacIntosh, Frank/Baez, Joan
Blechmans, Salom�/Blanc, Manuel
Thomas, Sean Patrick/Aguilera, Christina
Moore, Ray/Holt, Tim
Romano, Nick/Kerman, Robert
Dundara, David/Starr, Mike
Gosselaar, Mark-Paul/Affleck, Ben
Monroe, Rob/Hart, Veronica
Ratoucheff, Andy/Saylor, Syd
Dobson, Viki/Sanders, George
Bogino, David/Freytez, Patxi
Martins, Armando/Machado, Armando
Jones, Isabelle/Kehoe, Jack
Scott, Mike/Adams, Brian
Pruitt, Nate/Matthews, Dakin
Wiedenhoff, Randy/Arquette, Lewis
Weygers, Arlette/Van Kuyk, Fred
Whalley, Joanne/Keir, Andrew
Cederberg, G�ran/Franz�n, Peter
Karim, Abdul/Paxton, Bill
Wiedman, Marek/Behrens, Bernard
Dalunde, Nancy/Skarstedt, Georg
Welther, Jim/Barnouw, Erik
Norton, Harold/Holt, Tim
Gilbert, Maude/Hart, Al
Yoshioka, Adele/Alaimo, Marc
Jarvis, Woody/Andrews, Stanley
Gobin, Gabriel/Demange, Paul
Hartley, Lee/Gielgud, John
Doll, Gracie/Hytten, Olaf
Miroux, Thierry/Ardant, Fanny
Daniels, Mickey/Crawford, Joan
Corveau, Jeff/Alldredge, Greg
Lacaste, Alex/Maguelon, Pierre
Fanning, Dakota/Abraham, Falconer
Nay, Pierre/Boyer, Charles
Helpmann, Robert/Green, Danny
Chavez, Margaret/Fletcher, Louise
Con�alves, Daniel/Lint, Derek de
